d_trade_date,rank,ts_code,schema_version,t_trade_date,t1_trade_date,name,candidate_source,candidate_source_sha256,candidate_row_sha256,buy_rule,max_buy_price,auction_price,auction_volume,auction_amount,t_up_limit,buy_cap_pass,auction_queue_risk,fill_observed,fill_confidence,sell_rule,sell_time,sell_price,sell_volume,gross_return,cost_bps,net_return,pnl_per_10000,is_win,model_eligible,status,auction_source,auction_source_sha256,sell_source,sell_source_sha256,truth_updated_at
20260610,1,603065.SH,premium_execution_truth_v1,20260611,20260612,宿迁联盛,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,b84ffc0b8c663f6710f138ca5aa3dcadbf821c8bd35f2b1358683d481ebd194b,T opening call auction; published max-buy-price cap,11.97,12.36,3772673.92,46630251.52,,0.0,,0.0,RULE_PRICE_CAP_REJECTED,T+1 11:00 minute open,,,,,35.0,,,,0,NO_FILL_PRICE_CAP,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,,,2026-09-04T01:39:29+08:00
20260610,2,002354.SZ,premium_execution_truth_v1,20260611,20260612,天娱数科,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,51fe231d72d44b0edc97af615d28449c0bd99aaaa5d5eef9005e404312d4c815,T opening call auction; published max-buy-price cap,9.23,8.75,40258600.96,352726466.56,9.76,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,7.94,618500.0,-0.09257142857142853,35.0,-0.09607142857142853,-960.7142857142853,0.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,ea11030f1ecfe2d7f8548b46709da3a22fd6c2ed562083c4ffb24ea53aa8cd22,2026-09-04T01:39:29+08:00
20260610,3,600058.SH,premium_execution_truth_v1,20260611,20260612,五矿发展,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,7a1f02c2c9d2fdf10476b4a1dd3978da801abb92926a5e942dec72aedf15b869,T opening call auction; published max-buy-price cap,10.8,10.9,1495100.0,16296590.08,,0.0,,0.0,RULE_PRICE_CAP_REJECTED,T+1 11:00 minute open,,,,,35.0,,,,0,NO_FILL_PRICE_CAP,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,,,2026-09-04T01:39:29+08:00
20260610,4,600981.SH,premium_execution_truth_v1,20260611,20260612,苏豪汇鸿,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,034494306ff800e917e830929edff75c85cda76b090fe00889394b134a76eb11,T opening call auction; published max-buy-price cap,2.84,2.74,3497900.16,9552078.72,2.98,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,2.69,176100.0,-0.018248175182481896,35.0,-0.021748175182481896,-217.48175182481896,0.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,c1c5b36f7e06528bedfc316a04efc8c39cce952b501b32b1c98ea5480b1f4d5e,2026-09-04T01:39:29+08:00
20260610,5,600500.SH,premium_execution_truth_v1,20260611,20260612,中化国际,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,a531f0c964e71dfce8a30d4de0d0b7b0e8aaaaa7a54c999dc0af1e40817c5ca9,T opening call auction; published max-buy-price cap,6.79,7.21,6538910.08,47145538.56,,0.0,,0.0,RULE_PRICE_CAP_REJECTED,T+1 11:00 minute open,,,,,35.0,,,,0,NO_FILL_PRICE_CAP,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,,,2026-09-04T01:39:29+08:00
20260610,6,000029.SZ,premium_execution_truth_v1,20260611,20260612,深深房Ａ,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,4151e4bef171eb7aa5d3afb48f1ace98b058b43af1f0a5a4197064e056a0976a,T opening call auction; published max-buy-price cap,27.81,26.86,413700.0,11117194.24,29.69,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,25.78,51900.0,-0.04020848845867453,35.0,-0.04370848845867453,-437.0848845867453,0.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,0b21ef16fb41ebebf3097e5b9ee4c815a4e361e5435b4a76f210e24adfaa1f65,2026-09-04T01:39:29+08:00
20260610,7,002119.SZ,premium_execution_truth_v1,20260611,20260612,康强电子,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,55388fe8e231aae7ba4a3a49db1beedf8f1785e375f157da525d619f8e14cc25,T opening call auction; published max-buy-price cap,29.34,29.0,4994848.0,145209600.0,31.2,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,32.64,375400.0,0.12551724137931042,35.0,0.12201724137931041,1220.1724137931042,1.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,e871567ff0f1dc66d3276a713df4c4628f4b1452a2285bc6d8f9f8b86c86cfef,2026-09-04T01:39:29+08:00
20260610,8,600881.SH,premium_execution_truth_v1,20260611,20260612,亚泰集团,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,28f81c25b26a8234868643eefe05a15d1a0c64eb456fed3b622b850d689a7d0f,T opening call auction; published max-buy-price cap,1.85,1.8,5111800.0,9201240.32,1.95,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,1.69,209900.0,-0.061111111111111116,35.0,-0.06461111111111112,-646.1111111111112,0.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,21d3fc82800abf426a124633aba0bc10aeb51ad8fc6df94a5dc808ba63a323a2,2026-09-04T01:39:29+08:00
20260610,9,002409.SZ,premium_execution_truth_v1,20260611,20260612,雅克科技,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,3714fa9f9e9b100b0a95cf0ff8a8924a5b5a47334449f34d54b9da98ea22d5e8,T opening call auction; published max-buy-price cap,127.58,126.22,2835506.88,358306160.64,134.81,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,137.92,110300.0,0.0926952939312311,35.0,0.0891952939312311,891.9529393123111,1.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,7282e915ff5ee3b70ef9fb8d2684a8ca2ad4ec2a6653d7cdc4ca40517ec8cf82,2026-09-04T01:39:29+08:00
20260610,10,002636.SZ,premium_execution_truth_v1,20260611,20260612,金安国纪,outputs/premium/premium_top10_20260610.csv,ff256a163029cd59b9eb8f43d4e0740ed8f4a18814e8da308e20404e4a8e85c5,55d92925af07768b1966f749d1966f613b0ad95c8391ccd9638807dcd727d282,T opening call auction; published max-buy-price cap,80.71,77.44,4711703.04,365127598.08,85.16,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-12 11:00:00,93.28,3400.0,0.20454545454545459,35.0,0.20104545454545458,2010.4545454545457,1.0,1,READY,tushare:stk_auction_o,68cd1bb1050beae9594b6abc309c13a3d451fb3a66e53003b4c617535ad443c7,tushare:stk_mins,4c68a1cfe285f4beb58b9ece84e0673ac0cdb1d206b353b16a3236c5c8aa5408,2026-09-04T01:39:29+08:00
20260612,1,603335.SH,premium_execution_truth_v1,20260615,20260616,迪生力,outputs/premium/premium_top10_20260612.csv,5d385b501789de12cd58ddc859ddd9209246d4baf04188ea084252cd988c9dd6,c3ca03ff1f051f9c36f26ef685910f70de941a50b2ac7ddeb7b042ba31a3d6b8,T opening call auction; published max-buy-price cap,8.35,8.86,305637.0,2707944.0,,0.0,,0.0,RULE_PRICE_CAP_REJECTED,T+1 11:00 minute open,,,,,35.0,,,,0,NO_FILL_PRICE_CAP,tushare:stk_auction_o,892d4faa8ee4e06dacb134527ae0bd21902e1242ea19147f59603a36e602516a,,,2026-09-04T01:39:29+08:00
20260612,2,601996.SH,premium_execution_truth_v1,20260615,20260616,丰林集团,outputs/premium/premium_top10_20260612.csv,5d385b501789de12cd58ddc859ddd9209246d4baf04188ea084252cd988c9dd6,a1acc4cea2ea46c4531a4ed7397e0ba9667639a1ef887c39a0cd20b0851697e3,T opening call auction; published max-buy-price cap,2.83,2.73,1065000.0,2907449.92,2.98,1.0,0.0,1.0,MEDIUM_MATCHED_AUCTION_VOLUME,T+1 11:00 minute open,2026-06-16 11:00:00,2.62,20800.0,-0.04029304029304026,35.0,-0.043793040293040264,-437.93040293040264,0.0,1,READY,tushare:stk_auction_o,892d4faa8ee4e06dacb134527ae0bd21902e1242ea19147f59603a36e602516a,tushare:stk_mins,e22f68a2ef62ef63c87764380fe418ed724c52745c02cf86e4c3af35447ff7b8,2026-09-04T01:39:29+08:00
